mean,se,outcome,curr_change,pre_change,group,region,lci,uci,exposure_type
-1.798768399172906,0.007013850767181893,HAZ,-1,-1,19 to 24,Rural,-1.8125155466765825,-1.7850212516692294,Both minus 1000pp
-1.4858999825365575,0.005811205832007118,WAZ,-1,-1,19 to 24,Rural,-1.4972899459672915,-1.4745100191058236,Both minus 1000pp
-0.8017784885837805,0.0041778618542824735,WHZ,-1,-1,19 to 24,Rural,-0.8099670978181742,-0.7935898793493869,Both minus 1000pp
-1.643300397588347,0.004474701533372073,HAZ,0,0,25 to 36,Rural,-1.6520708125937562,-1.6345299825829376,Baseline
-1.468728388735525,0.003629874866821425,WAZ,0,0,25 to 36,Rural,-1.4758429434744949,-1.461613833996555,Baseline
-0.8050933104148627,0.0022026830305080167,WHZ,0,0,25 to 36,Rural,-0.8094105691546584,-0.8007760516750669,Baseline
-1.6369513117194696,0.004464119976152307,HAZ,-1,0,25 to 36,Rural,-1.6457009868727281,-1.628201636566211,Current minus 1000pp
-1.4609076966081445,0.003621677462744084,WAZ,-1,0,25 to 36,Rural,-1.4680061844351229,-1.453809208781166,Current minus 1000pp
-0.7989829755017351,0.002207703981747609,WHZ,-1,0,25 to 36,Rural,-0.8033100753059604,-0.7946558756975098,Current minus 1000pp
-1.6327752966959086,0.004479825237946192,HAZ,0,-1,25 to 36,Rural,-1.6415557541622832,-1.623994839229534,Previous minus 1000pp
-1.4641244009474483,0.0036315716178182086,WAZ,0,-1,25 to 36,Rural,-1.471242281318372,-1.4570065205765246,Previous minus 1000pp
-0.8069870875953072,0.002203058312409196,WHZ,0,-1,25 to 36,Rural,-0.8113050818876293,-0.8026690933029852,Previous minus 1000pp
-1.6264262108270313,0.004469046658652752,HAZ,-1,-1,25 to 36,Rural,-1.6351855422779906,-1.617666879376072,Both minus 1000pp
-1.456303708820068,0.003623239048825514,WAZ,-1,-1,25 to 36,Rural,-1.463405257355766,-1.44920216028437,Both minus 1000pp
-0.8008767526821797,0.002208151713703715,WHZ,-1,-1,25 to 36,Rural,-0.805204730041039,-0.7965487753233205,Both minus 1000pp
-1.6828967053165902,0.0045736357855417995,HAZ,0,0,37 to 48,Rural,-1.691861031456252,-1.6739323791769283,Baseline
-1.516171471218324,0.003659137396940264,WAZ,0,0,37 to 48,Rural,-1.523343380516327,-1.5089995619203211,Baseline
-0.7890735248284905,0.0022552237182686453,WHZ,0,0,37 to 48,Rural,-0.7934937633162971,-0.7846532863406839,Baseline
-1.673699125253889,0.004564169008507911,HAZ,-1,0,37 to 48,Rural,-1.6826448965105647,-1.6647533539972135,Current minus 1000pp
-1.5087898626568117,0.003652192242605412,WAZ,-1,0,37 to 48,Rural,-1.5159481594523183,-1.501631565861305,Current minus 1000pp
-0.7862605967335388,0.002255375091907797,WHZ,-1,0,37 to 48,Rural,-0.7906811319136781,-0.7818400615533995,Current minus 1000pp
-1.6762020912432967,0.004576220669697028,HAZ,0,-1,37 to 48,Rural,-1.6851714837559029,-1.6672326987306905,Previous minus 1000pp
-1.5139231279414422,0.0036602278925307167,WAZ,0,-1,37 to 48,Rural,-1.5210971746108024,-1.506749081272082,Previous minus 1000pp
-0.7910648409047589,0.002254796344928081,WHZ,0,-1,37 to 48,Rural,-0.795484241740818,-0.7866454400686999,Previous minus 1000pp
-1.6670045111805953,0.0045665842453620886,HAZ,-1,-1,37 to 48,Rural,-1.6759550163015051,-1.6580540060596856,Both minus 1000pp
-1.5065415193799296,0.0036532258473680745,WAZ,-1,-1,37 to 48,Rural,-1.513701842040771,-1.4993811967190882,Both minus 1000pp
-0.7882519128098073,0.0022549799885250763,WHZ,-1,-1,37 to 48,Rural,-0.7926716735873165,-0.7838321520322982,Both minus 1000pp
-1.5545521697853777,0.004632111975576949,HAZ,0,0,49 to 60,Rural,-1.5636311092575086,-1.5454732303132468,Baseline
-1.5100736306716906,0.0034627719148122927,WAZ,0,0,49 to 60,Rural,-1.5168606636247228,-1.5032865977186585,Baseline
-0.8662443977903349,0.0018899562324373005,WHZ,0,0,49 to 60,Rural,-0.8699487120059121,-0.8625400835747578,Baseline
-1.5642578638083868,0.004648128381980723,HAZ,-1,0,49 to 60,Rural,-1.573368195437069,-1.5551475321797046,Current minus 1000pp
-1.5124063456481847,0.003466417526579033,WAZ,-1,0,49 to 60,Rural,-1.5192005240002795,-1.5056121672960898,Current minus 1000pp
-0.8604042376237242,0.0018862815466973632,WHZ,-1,0,49 to 60,Rural,-0.8641013494552511,-0.8567071257921973,Current minus 1000pp
-1.5650072137833424,0.004622785635613912,HAZ,0,-1,49 to 60,Rural,-1.5740678736291456,-1.5559465539375392,Previous minus 1000pp
-1.5145212870575828,0.00345939936837713,WAZ,0,-1,49 to 60,Rural,-1.521301709819602,-1.5077408642955636,Previous minus 1000pp
-0.8632124298631269,0.0018903068043459109,WHZ,0,-1,49 to 60,Rural,-0.8669174311996448,-0.8595074285266089,Previous minus 1000pp
-1.5747129078063515,0.004638610107444998,HAZ,-1,-1,49 to 60,Rural,-1.5838045836169437,-1.5656212319957594,Both minus 1000pp
