outcome,model,term,estimate,std.error,statistic,p.value
c_stunting,m1b,"c_age3mo[3,6)",-0.27079365202831757,0.04707579119785562,-5.752291042548695,8.994667772828712e-9
c_stunting,m1b,"c_age3mo[6,9)",-0.18576441520672762,0.0469022766918009,-3.960669466589061,7.512285063564588e-5
c_stunting,m1b,"c_age3mo[9,12)",-0.05171201434978782,0.04809347810637548,-1.0752396454963953,0.282286622027124
c_stunting,m1b,"c_age3mo[12,15)",0.17326784335701134,0.04324393185018525,4.006755073920715,6.188817056636949e-5
c_stunting,m1b,"c_age3mo[15,18)",0.37160050755830837,0.042231810278507365,8.799066511894791,1.5448924798867016e-18
c_stunting,m1b,"c_age3mo[18,21)",0.48618313245036965,0.04289398401247676,11.334529623290564,1.2039906175471145e-29
c_stunting,m1b,"c_age3mo[21,24)",0.5429942496254297,0.04199851769070575,12.9288908152488,5.192038074285097e-38
c_stunting,m1b,"c_age3mo[24,27)",0.3209985710423964,0.04351042082268072,7.377510145226385,1.7066484879967523e-13
c_stunting,m1b,"c_age3mo[27,30)",0.332126120451848,0.044490250149293385,7.465143921136685,8.828877898959613e-14
c_stunting,m1b,"c_age3mo[30,33)",0.38641520600522916,0.04423255353631666,8.73599137087953,2.6961397246071973e-18
c_stunting,m1b,"c_age3mo[33,36)",0.5099756385585598,0.043440956776803395,11.739512119375709,1.1385908167232623e-31
c_stunting,m1b,"c_age3mo[36,39)",0.39845170157372867,0.04551818490282732,8.75368168621722,2.3071884313628402e-18
c_stunting,m1b,"c_age3mo[39,42)",0.3893920812644364,0.04514920826748297,8.624560567208917,7.1432000990349345e-18
c_stunting,m1b,"c_age3mo[42,45)",0.42801399359493525,0.044166625477855874,9.690891911349025,3.890228624204178e-22
c_stunting,m1b,"c_age3mo[45,48)",0.47301807505165044,0.04470960440987044,10.579786631867924,4.67442383861443e-26
c_stunting,m1b,"c_age3mo[48,51)",0.26779077334692275,0.046323006983494903,5.780945382978652,7.592062525193537e-9
c_stunting,m1b,"c_age3mo[51,54)",0.26114044851428936,0.04673367702387955,5.587842967735113,2.3434625547380567e-8
c_stunting,m1b,"c_age3mo[54,57)",0.30181715187037034,0.04660158150596234,6.476543115425278,9.709083112302642e-11
c_stunting,m1b,"c_age3mo[57,60]",0.43366567106272874,0.04618204956747876,9.390351340493874,6.921955484198097e-21
c_stunting,m1b,c_sex,-0.06169494246324783,0.009908681387188121,-6.22635243303101,4.915313808804525e-10
c_stunting,m1b,m_age,-0.008616444774218262,0.0011312696058965014,-7.61661475682444,2.7766172833586604e-14
c_stunting,m1b,m_eduyr,-0.025912280858441918,0.0011878933976610772,-21.81364161924154,1.0443631038566837e-103
c_stunting,m1b,m_height,-0.03243215760761257,9.679210995455195e-4,-33.50702616446822,1.5329016497678275e-236
c_stunting,m1b,m_casteOBC,0.13510324546412028,0.018648238816885848,7.2448260015731485,4.564204964154337e-13
c_stunting,m1b,m_casteSchedule Caste,0.22744496253442695,0.01964619106039753,11.57705133963126,7.527532519443642e-31
c_stunting,m1b,m_casteSchedule Tribe,0.2387101721814321,0.0247302763116172,9.652547718170723,5.644224650537805e-22
c_stunting,m1b,hh_religionMuslim,0.10983004865937508,0.0199269803343855,5.5116252847329354,3.620403577736756e-8
c_stunting,m1b,hh_religionOther,-0.12034286510413277,0.03868574988467165,-3.110780208807996,0.0018698173485305787
c_stunting,m1b,exposure_estimate:exposure_gt20,-1.1194930862035861e-4,3.174943142422449e-5,-3.5260256199404707,4.232415721860485e-4
c_stunting,m1c,(Intercept),3.755591417108397,0.2119746351011717,17.717173638798435,1.8779077022748834e-69
c_stunting,m1c,exposure_estimate,0.00703388418869159,0.002809243625464809,2.5038355965043024,0.012297189891457784
c_stunting,m1c,m_rural,0.059746098080095636,0.027128835727637655,2.2023097002732395,0.027660245395835212
c_stunting,m1c,exposure_gt20,4.1048880710196786e-4,2.153892936252287e-4,1.905799495383493,0.05669739582320957
c_stunting,m1c,factor(sdist)37,-0.0664738569038076,0.20421235653209457,-0.3255133921994597,0.7447975821261033
c_stunting,m1c,factor(sdist)38,-0.25568746272183623,0.21070491017115286,-1.2134860194484534,0.22496523962749634
c_stunting,m1c,factor(sdist)39,-0.34227137054966456,0.18695588439411423,-1.830760083636287,0.06715834261272932
c_stunting,m1c,factor(sdist)40,0.16892571036791318,0.18478598442645616,0.9141694966327097,0.36064408008427395
c_stunting,m1c,factor(sdist)41,-0.12190001057900127,0.17581717942603134,-0.6933338993206078,0.4881119354258605
c_stunting,m1c,factor(sdist)42,-0.13067326218470318,0.19370051886342923,-0.6746149310876955,0.49993197086644026
c_stunting,m1c,factor(sdist)44,0.21227281346883461,0.18683688021756767,1.136139787935055,0.25591818868648164
c_stunting,m1c,factor(sdist)45,0.08759233779294971,0.16960409582463437,0.5164517835908727,0.6055473470315009
c_stunting,m1c,factor(sdist)46,-0.18618447121682702,0.20666244712649576,-0.900910996678877,0.36765167942143284
c_stunting,m1c,factor(sdist)47,0.24696302105334106,0.1674605122131619,1.4747537660638452,0.14030202289616364
c_stunting,m1c,factor(sdist)48,-0.24121712679577978,0.18879618185971012,-1.2776589251949089,0.20139163539622038
c_stunting,m1c,factor(sdist)49,-0.24390233226686833,0.21830219436612214,-1.1172692650895268,0.26389905172981
c_stunting,m1c,factor(sdist)50,-0.08958093205634365,0.20037745317526065,-0.44706093742987874,0.6548382182585071
c_stunting,m1c,factor(sdist)51,-0.4961732541797632,0.24160582574094025,-2.0536477241727633,0.04002897632874581
c_stunting,m1c,factor(sdist)52,-0.04071102433140584,0.21174725582051016,-0.1922623467947796,0.8475395964610242
c_stunting,m1c,factor(sdist)53,-0.01930085611077248,0.20144232159963155,-0.09581331250308517,0.9236702631470646
