phase,c_age,variable,estimate,lci,uci,type
1,42,c_bmiz,-0.6072272597664391,-0.7148192176021434,-0.4996353019307348,Continuous
1,43,c_haz,-1.7013020111178345,-1.8321534254641827,-1.5704505967714864,Continuous
1,43,c_waz,-1.4661260476509013,-1.5659517178348947,-1.3663003774669078,Continuous
1,43,c_whz,-0.6869864168457399,-0.7963650455208804,-0.5776077881705994,Continuous
1,43,c_bmiz,-0.5029007439257394,-0.6146510775139427,-0.391150410337536,Continuous
1,44,c_haz,-1.6404955470123435,-1.7721687428618946,-1.5088223511627923,Continuous
1,44,c_waz,-1.423597886036471,-1.5174732409171154,-1.3297225311558267,Continuous
1,44,c_whz,-0.6743927358938467,-0.7871206928949007,-0.5616647788927928,Continuous
1,44,c_bmiz,-0.510413539579007,-0.627360913711102,-0.393466165446912,Continuous
1,45,c_haz,-1.6744821217460903,-1.8084445518373042,-1.5405196916548765,Continuous
1,45,c_waz,-1.4617577724600417,-1.5695485792307358,-1.3539669656893476,Continuous
1,45,c_whz,-0.6969670266223992,-0.8117825458811174,-0.5821515073636809,Continuous
1,45,c_bmiz,-0.5143961658722663,-0.6308762617260509,-0.3979160700184818,Continuous
1,46,c_haz,-1.7217069597718808,-1.8554925489127785,-1.5879213706309832,Continuous
1,46,c_waz,-1.502391996201128,-1.612143615497313,-1.3926403769049431,Continuous
1,46,c_whz,-0.7130469253034549,-0.8394415544439578,-0.586652296162952,Continuous
1,46,c_bmiz,-0.5461923173818214,-0.6748480493929423,-0.4175365853707005,Continuous
1,47,c_haz,-1.663479120994085,-1.7875718393422786,-1.5393864026458912,Continuous
1,47,c_waz,-1.4841143021699963,-1.5815869814778925,-1.3866416228621001,Continuous
1,47,c_whz,-0.73125671574692,-0.8448936412873566,-0.6176197902064834,Continuous
1,47,c_bmiz,-0.570785458308905,-0.6864644821685315,-0.4551064344492786,Continuous
1,48,c_haz,-1.5636131255253094,-1.6857317345446345,-1.4414945165059843,Continuous
1,48,c_waz,-1.4765454938851228,-1.5697827810558047,-1.3833082067144409,Continuous
1,48,c_whz,-0.8117520993726508,-0.9137450816256681,-0.7097591171196335,Continuous
1,48,c_bmiz,-0.6647619532780824,-0.7675876510644706,-0.5619362554916942,Continuous
1,49,c_haz,-1.4367568737774712,-1.5590576374108924,-1.31445611014405,Continuous
1,49,c_waz,-1.413431840551443,-1.5081542445673406,-1.3187094365355454,Continuous
1,49,c_whz,-0.8300630666218728,-0.9441126470421052,-0.7160134862016404,Continuous
1,49,c_bmiz,-0.7190436098109676,-0.8345832899807171,-0.6035039296412181,Continuous
1,50,c_haz,-1.398073513490038,-1.516407539422068,-1.279739487558008,Continuous
1,50,c_waz,-1.3351566772746446,-1.4208098845501178,-1.2495034699991714,Continuous
1,50,c_whz,-0.7468215317366713,-0.8606112672984457,-0.6330317961748969,Continuous
1,50,c_bmiz,-0.6313737345859405,-0.7467243319016883,-0.5160231372701927,Continuous
1,51,c_haz,-1.504761500146669,-1.6188945947092765,-1.3906284055840614,Continuous
1,51,c_waz,-1.3837774620770078,-1.476046559769429,-1.2915083643845866,Continuous
1,51,c_whz,-0.7171154513770652,-0.8240123577322018,-0.6102185450219286,Continuous
1,51,c_bmiz,-0.5945778159926383,-0.7021840473453348,-0.48697158463994167,Continuous
1,52,c_haz,-1.4070488972465145,-1.5287541486387661,-1.2853436458542629,Continuous
1,52,c_waz,-1.3271232676712768,-1.4142231518540043,-1.2400233834885492,Continuous
