phase,c_age,variable,estimate,lci,uci,type
1,11,c_underweight,24.61677279527372,20.656753393476624,28.576792197070823,Proportion
1,11,c_wasting,20.18810378239696,16.495738699549467,23.880468865244453,Proportion
1,11,c_overweight,4.665824975908314,2.678366257332886,6.653283694483742,Proportion
1,12,c_stunting,29.462291890343252,25.539475154086063,33.38510862660044,Proportion
1,12,c_underweight,23.59130481177971,20.196420188917934,26.98618943464149,Proportion
1,12,c_wasting,19.691739879574037,16.601673421229304,22.781806337918766,Proportion
1,12,c_overweight,2.6824964137326317,1.3686785257428853,3.9963143017223786,Proportion
1,13,c_stunting,30.91946075856795,27.241744569127942,34.59717694800796,Proportion
1,13,c_underweight,22.63509428806653,19.207492010211837,26.06269656592122,Proportion
1,13,c_wasting,20.794216327158427,17.509259044530317,24.079173609786537,Proportion
1,13,c_overweight,4.288921722264134,2.7233869845729437,5.8544564599553235,Proportion
1,14,c_stunting,34.19858224380846,30.01131743952683,38.385847048090085,Proportion
1,14,c_underweight,25.783978271979436,22.057533102560605,29.510423441398263,Proportion
1,14,c_wasting,20.105448346902456,16.568518852569976,23.642377841234932,Proportion
1,14,c_overweight,2.315503802626389,1.1548239510104574,3.4761836542423206,Proportion
1,15,c_stunting,36.011900248518145,31.889942147009908,40.13385835002639,Proportion
1,15,c_underweight,22.331059980779536,18.907973797328246,25.754146164230825,Proportion
1,15,c_wasting,19.802579421122317,16.560388315177477,23.04477052706716,Proportion
1,15,c_overweight,3.826325284818592,2.070327402821333,5.5823231668158515,Proportion
1,16,c_stunting,39.115864605556524,35.10630473742849,43.12542447368457,Proportion
1,16,c_underweight,23.904145162501738,20.487818445335044,27.320471879668435,Proportion
1,16,c_wasting,15.648954279708551,12.817572816004553,18.480335743412553,Proportion
1,16,c_overweight,3.7717431513923856,2.178601109071065,5.364885193713706,Proportion
1,17,c_stunting,38.33949264807868,34.310051870132234,42.36893342602513,Proportion
1,17,c_underweight,21.6329839181534,18.38461938997187,24.88134844633493,Proportion
1,17,c_wasting,16.02526705937786,13.059024641018866,18.991509477736855,Proportion
1,17,c_overweight,2.928130086030378,1.551426198743537,4.304833973317219,Proportion
1,18,c_stunting,42.15977304913464,37.91753645065158,46.402009647617696,Proportion
1,18,c_underweight,29.794636937724288,25.796893661585873,33.79238021386271,Proportion
1,18,c_wasting,17.382002455177584,13.825744641469162,20.938260268886005,Proportion
1,18,c_overweight,4.188208218635908,2.6994067882451964,5.67700964902662,Proportion
1,19,c_stunting,42.142146280832755,37.60910018888272,46.67519237278279,Proportion
1,19,c_underweight,27.53363385597171,23.531104670540003,31.53616304140342,Proportion
1,19,c_wasting,18.746172120027033,15.162992992630675,22.32935124742339,Proportion
1,19,c_overweight,3.2234269600071674,1.5303109266522439,4.916542993362091,Proportion
1,20,c_stunting,43.91943397975023,39.321226907569,48.51764105193146,Proportion
1,20,c_underweight,23.765543995994893,20.055919567075943,27.475168424913843,Proportion
1,20,c_wasting,16.0510462763806,12.81884565728565,19.283246895475553,Proportion
1,20,c_overweight,2.7009659426537604,0.7494291146939385,4.652502770613582,Proportion
1,21,c_stunting,38.69416404483547,33.933580832061985,43.45474725760895,Proportion
1,21,c_underweight,25.84763840240038,21.909430372738395,29.785846432062364,Proportion
1,21,c_wasting,16.25403516933454,12.859145443821069,19.64892489484801,Proportion
1,21,c_overweight,2.1548243685797894,0.9345207661172882,3.37512797104229,Proportion
1,22,c_stunting,46.416120315870394,41.77339253724617,51.05884809449462,Proportion
1,22,c_underweight,26.794791499602443,22.810585616550323,30.778997382654566,Proportion
1,22,c_wasting,17.339795507256603,13.81570292020831,20.863888094304897,Proportion
1,22,c_overweight,3.2734097061190965,1.7285601333589042,4.818259278879289,Proportion
1,23,c_stunting,44.95837197550983,40.3426782785961,49.57406567242355,Proportion
1,23,c_underweight,31.720259001057915,27.456280742661495,35.98423725945434,Proportion
1,23,c_wasting,17.027396516108265,13.629839659782725,20.424953372433805,Proportion
1,23,c_overweight,1.7748929635777226,0.7144692736310031,2.8353166535244423,Proportion
1,24,c_stunting,34.6952847406801,30.61599277637641,38.7745767049838,Proportion
1,24,c_underweight,27.904587437830163,24.04968783047001,31.759487045190316,Proportion
1,24,c_wasting,18.208104421581247,14.819199413312667,21.597009429849827,Proportion
1,24,c_overweight,1.8728973381025977,0.7474813425083258,2.9983133336968697,Proportion
1,25,c_stunting,36.59221536755518,32.5375005673388,40.646930167771544,Proportion
1,25,c_underweight,26.779510412281944,23.128886454701878,30.430134369862007,Proportion
1,25,c_wasting,20.070250906747344,16.603400869639934,23.537100943854757,Proportion
